date,bases,open_access_bases,bytes,open_access_bytes
"08/08/2008",359801486902,359801486902,1897557790832,1897557790832
"08/09/2008",359933319109,359933319109,1897843098248,1897843098248
"08/14/2008",374794595089,374794595089,2017357798468,2017357798468
"08/15/2008",427921853735,427921853735,2202876920756,2202876920756
"08/16/2008",469501674873,469501674873,2503385611270,2503385611270
"08/17/2008",485946924003,485946924003,2593542972282,2593542972282
"08/18/2008",509468101983,509468101983,2747478677056,2747478677056
"08/19/2008",537816842055,537816842055,2946183952198,2946183952198
"08/20/2008",594284727055,594284727055,3337581452138,3337581452138
"08/21/2008",604272676603,604272676603,3399421218444,3399421218444
"08/23/2008",610239788491,610239788491,3479765069663,3479765069663
"08/25/2008",637761891562,637761891562,3628666976898,3628666976898
"08/26/2008",689271034846,689271034846,3883394668975,3883394668975
"08/27/2008",698399851551,698399851551,3907880057233,3907880057233
"08/28/2008",716351424346,716351424346,3939117403143,3939117403143
"08/29/2008",724531709236,724531709236,3960053172908,3960053172908
"08/30/2008",765221405892,765221405892,4239586453908,4239586453908
"08/31/2008",873541965483,873541965483,4929477721716,4929477721716
"09/01/2008",884210835414,884210835414,4991954165533,4991954165533
"09/02/2008",915532447063,915532447063,5185711240406,5185711240406
"09/03/2008",935037060313,935037060313,5248705148094,5248705148094
"09/04/2008",942800321348,942800321348,5265758810337,5265758810337
"09/05/2008",947973614203,947973614203,5313880398248,5313880398248
"09/06/2008",952451231023,952451231023,5363495576156,5363495576156
"09/07/2008",978370121021,978370121021,5560409635364,5560409635364
"09/08/2008",1000594229414,1000594229414,5710789269865,5710789269865
"09/09/2008",1021807753070,1021807753070,5850516936327,5850516936327
"09/10/2008",1034139985527,1034139985527,5978732743714,5978732743714
"09/11/2008",1043027300737,1043027300737,6090991608175,6090991608175
"09/12/2008",1044565392529,1044565392529,6111574825297,6111574825297
"09/14/2008",1044857930329,1044857930329,6115532580676,6115532580676
"09/15/2008",1055222803207,1055222803207,6190501268905,6190501268905
"09/16/2008",1055224245505,1055224245505,6190505118796,6190505118796
"09/18/2008",1055444857073,1055444857073,6191043993962,6191043993962
"09/19/2008",1070231737984,1070231737984,6293943654523,6293943654523
"09/20/2008",1098597521916,1098597521916,6558844602326,6558844602326
"09/22/2008",1113197497200,1113197497200,6658720515094,6658720515094
"09/23/2008",1136567065596,1136567065596,6826327123581,6826327123581
"09/24/2008",1154801430844,1154801430844,6963224387294,6963224387294
"09/25/2008",1159152135060,1159152135060,7004074272100,7004074272100
"09/26/2008",1185704695987,1185704695987,7220205517330,7220205517330
"09/27/2008",1209195730663,1209195730663,7379648783109,7379648783109
"09/28/2008",1231996643935,1231996643935,7535825210685,7535825210685
"09/29/2008",1245104079667,1245104079667,7625183909787,7625183909787
"09/30/2008",1279015150044,1279015150044,7861618031329,7861618031329
"10/01/2008",1315451166080,1315451166080,8076710780245,8076710780245
"10/02/2008",1328724176407,1328724176407,8168377944921,8168377944921
"10/03/2008",1334602038656,1334602038656,8202697071069,8202697071069
"10/04/2008",1369533096200,1369533096200,8430384243333,8430384243333
"10/05/2008",1389048708836,1389048708836,8574233160130,8574233160130
"10/06/2008",1415567836449,1415567836449,8764417925966,8764417925966
"10/07/2008",1419921297921,1419921297921,8789465652029,8789465652029
"10/08/2008",1421428927035,1421428927035,8803166890018,8803166890018
"10/09/2008",1428533287641,1428533287641,8871177639811,8871177639811
"10/10/2008",1444363761775,1444363761775,9021331763589,9021331763589
"10/11/2008",1462538216543,1462538216543,9194042136619,9194042136619
"10/12/2008",1494279869963,1494279869963,9433546841704,9433546841704
"10/13/2008",1514836022639,1514836022639,9574327440290,9574327440290
"10/14/2008",1517242993439,1517242993439,9608657562384,9608657562384
"10/15/2008",1530323550857,1530323550857,9732949995374,9732949995374
"10/16/2008",1541050196305,1541050196305,9813750730115,9813750730115
"10/17/2008",1582629818075,1582629818075,10094688880683,10094688880683
"10/20/2008",1646915210003,1646915210003,10477167785502,10477167785502
"10/21/2008",1698438242252,1698438242252,10825222803957,10825222803957
"10/22/2008",1762597912458,1762597912458,11175643082686,11175643082686
"10/23/2008",1801242092271,1801242092271,11430891361744,11430891361744
"10/24/2008",1910420660044,1910420660044,12145925475565,12145925475565
"10/25/2008",1950053895832,1950053895832,12332053252256,12332053252256
"10/27/2008",1969872373161,1969872373161,12403855527402,12403855527402
"10/28/2008",1995935223207,1995935223207,12537591175851,12537591175851
"10/29/2008",2031957447957,2031957447957,12702201603859,12702201603859
"10/30/2008",2050154885369,2050154885369,12743017927641,12743017927641
"10/31/2008",2070683889302,2070683889302,12840842325539,12840842325539
"11/04/2008",2070916446976,2070916446976,12841419994712,12841419994712
"11/06/2008",2073000725815,2073000725815,12846051100846,12846051100846
"11/07/2008",2075149632629,2075149632629,12857785133686,12857785133686
"11/08/2008",2088788575421,2088788575421,12993656569763,12993656569763
"11/13/2008",2088896797719,2088896797719,12993903291695,12993903291695
"11/14/2008",2089829058525,2089829058525,12996040561047,12996040561047
"11/17/2008",2090158990012,2090158990012,12996761048087,12996761048087
"11/18/2008",2097025622694,2097025622694,13011531997691,13011531997691
"11/20/2008",2098381374649,2098381374649,13014712595530,13014712595530
"11/21/2008",2100180691657,2100180691657,13031042252070,13031042252070
"11/25/2008",2106420358248,2106420358248,13054441411862,13054441411862
"12/03/2008",2116817612620,2116817612620,13069301409028,13069301409028
"12/04/2008",2117232250387,2117232250387,13070188903027,13070188903027
"12/05/2008",2126378816117,2126378816117,13090796592400,13090796592400
"12/08/2008",2141499928822,2141499928822,13123655135872,13123655135872
"12/09/2008",2142408893456,2142408893456,13128751037373,13128751037373
"12/10/2008",2143496468684,2143496468684,13136623957868,13136623957868
"12/11/2008",2154778062908,2154778062908,13287822773054,13287822773054
"12/16/2008",2156299979781,2156299979781,13291115448754,13291115448754
"12/19/2008",2156922003303,2156922003303,13292653427441,13292653427441
"12/20/2008",2177761592415,2177761592415,13337775050389,13337775050389
"12/22/2008",2178441612630,2178441612630,13339195647173,13339195647173
"12/23/2008",2181476410944,2181476410944,13347645742040,13347645742040
"12/24/2008",2181590594755,2181590594755,13347881470933,13347881470933
"12/28/2008",2247011678871,2247011678871,13491618466779,13491618466779
"12/29/2008",2250071398826,2250071398826,13498552962538,13498552962538
"12/31/2008",2250299594816,2250299594816,13499083094261,13499083094261
"01/05/2009",2250321952546,2250321952546,13499139163221,13499139163221
"01/06/2009",2257532463098,2257532463098,13505070486034,13505070486034
"01/07/2009",2298934128211,2298934128211,13538446378814,13538446378814
"01/08/2009",2301861819252,2301861819252,13544885248467,13544885248467
"01/09/2009",2349916601203,2349916601203,13585569285111,13585569285111
"01/10/2009",2350070225798,2350070225798,13585901411602,13585901411602
"01/12/2009",2351149967624,2351149967624,13587673610564,13587673610564
"01/13/2009",2365263429116,2365263429116,13599888107938,13599888107938
"01/14/2009",2366441051480,2366441051480,13602507967994,13602507967994
"01/15/2009",2366809315887,2366809315887,13603412378146,13603412378146
"01/16/2009",2384781020786,2384781020786,13618623471211,13618623471211
"01/20/2009",2385757452677,2385757452677,13620698267235,13620698267235
"01/21/2009",2386566830409,2386566830409,13621127196330,13621127196330
"01/22/2009",2386715054453,2386715054453,13621488407743,13621488407743
"01/26/2009",2387764648397,2387764648397,13623956090437,13623956090437
"01/28/2009",2399840120095,2399840120095,13636332254036,13636332254036
"01/29/2009",2446654028762,2446654028762,13737574273410,13737574273410
"01/30/2009",2469141959256,2469141959256,13785936676903,13785936676903
"01/31/2009",2473087688181,2473087688181,13794619524472,13794619524472
"02/02/2009",2477507879856,2477507879856,13845221725491,13845221725491
"02/03/2009",2523145647616,2523145647616,14241460603280,14241460603280
"02/04/2009",2539763077165,2539763077165,14362861434516,14362861434516
"02/05/2009",2542611782180,2542611782180,14382190263766,14382190263766
"02/06/2009",2543983281830,2543983281830,14383504295849,14383504295849
"02/09/2009",2544100487612,2544100487612,14383797262261,14383797262261
"02/10/2009",2544974126205,2544974126205,14385834101604,14385834101604
"02/11/2009",2553167009263,2553167009263,14393466934483,14393466934483
"02/12/2009",2555623931470,2555623931470,14397061812685,14397061812685
"02/13/2009",2557232968785,2557232968785,14407413618357,14407413618357
"02/17/2009",2568780468914,2568780468914,14486695368709,14486695368709
"02/18/2009",2570982187164,2570982187164,14488945542518,14488945542518
"02/19/2009",2572451231636,2572451231636,14492567405455,14492567405455
"02/20/2009",2574821471871,2574821471871,14495050293666,14495050293666
"02/23/2009",2585433078879,2585433078879,14561348351128,14561348351128
"02/24/2009",2585579625613,2585579625613,14561644671682,14561644671682
"02/26/2009",2585734738044,2585734738044,14562002973107,14562002973107
"02/27/2009",2610966222043,2610966222043,14581865585079,14581865585079
"02/28/2009",2620540400967,2620540400967,14589987716920,14589987716920
"03/03/2009",2744474094159,2744474094159,14728566829517,14728566829517
"03/04/2009",2828748232976,2828748232976,14799036234527,14799036234527
"03/05/2009",2883004483810,2883004483810,14844375176649,14844375176649
"03/06/2009",2938328939165,2938328939165,14967837189325,14967837189325
"03/07/2009",2979068828693,2979068828693,15002578537799,15002578537799
"03/08/2009",3001004565596,3001004565596,15020950591427,15020950591427
"03/09/2009",3033607789308,3033607789308,15056545662192,15056545662192
"03/10/2009",3073088758516,3073088758516,15115148204918,15115148204918
"03/11/2009",3094248517465,3094248517465,15139234835183,15139234835183
"03/13/2009",3094562039347,3094562039347,15139929819932,15139929819932
"03/16/2009",3094738670465,3094738670465,15140368490386,15140368490386
"03/17/2009",3094835068308,3094835068308,15140616098496,15140616098496
"03/18/2009",3095198047044,3095198047044,15141396451286,15141396451286
"03/19/2009",3095198182767,3095198182767,15141396933284,15141396933284
"03/20/2009",3095482120952,3095482120952,15142093751542,15142093751542
"03/23/2009",3096342872444,3096342872444,15144050808649,15144050808649
"03/24/2009",3096344826490,3096344826490,15144055060476,15144055060476
"03/25/2009",3101346746593,3101346746593,15155461154172,15155461154172
"03/26/2009",3101436592604,3101436592604,15155678270830,15155678270830
"03/30/2009",3104977690448,3104977690448,15157886138177,15157886138177
"04/01/2009",3106426850082,3106426850082,15159193042385,15159193042385
"04/02/2009",3106591676548,3106591676548,15159607916507,15159607916507
"04/06/2009",3110579885907,3110579885907,15175174027255,15175174027255
"04/08/2009",3121061823485,3121061823485,15190468695952,15190468695952
"04/09/2009",3199496235579,3199496235579,15249030431227,15249030431227
"04/10/2009",3260174445801,3260174445801,15300301878758,15300301878758
"04/11/2009",3316780604925,3316780604925,15344191371817,15344191371817
"04/12/2009",3373816819143,3373816819143,15388831421056,15388831421056
"04/13/2009",3473969679547,3473969679547,15475295741895,15475295741895
"04/14/2009",3561136215536,3561136215536,15714263085411,15714263085411
"04/15/2009",3609697816486,3609697816486,16074512614767,16074512614767
"04/16/2009",3646161247107,3646161247107,16335468809982,16335468809982
"04/17/2009",3685239259251,3685239259251,16436441573496,16436441573496
"04/18/2009",3753547033451,3753547033451,16953494516830,16953494516830
"04/19/2009",3817131054151,3817131054151,17439379570974,17439379570974
"04/20/2009",3874964744101,3874964744101,17879127508601,17879127508601
"04/21/2009",3940575087536,3940575087536,18362595158117,18362595158117
"04/22/2009",4047823252943,4047823252943,19144236453331,19144236453331
"04/23/2009",4199116143258,4199116143258,20234046610492,20234046610492
"04/24/2009",4268155642793,4268155642793,20764172945642,20764172945642
"04/25/2009",4287050760738,4287050760738,20903336872276,20903336872276
"04/27/2009",4287359589658,4287359589658,20905713051933,20905713051933
"04/28/2009",4302571080235,4302571080235,21040469156488,21040469156488
"04/29/2009",4336274171394,4336274171394,21283755334095,21283755334095
"04/30/2009",4380077489361,4380077489361,21614374999994,21614374999994
"05/03/2009",4380220345206,4380220345206,21614682708671,21614682708671
"05/04/2009",4380921454606,4380921454606,21619729339354,21619729339354
"05/05/2009",4457131794809,4457131794809,22126000897083,22126000897083
"05/06/2009",4494207462482,4494207462482,22151383956332,22151383956332
"05/07/2009",4518856142860,4518856142860,22168959430626,22168959430626
"05/08/2009",4626194864421,4626194864421,22252041732541,22252041732541
"05/09/2009",4626888280010,4626888280010,22253506739870,22253506739870
"05/13/2009",4635386092409,4635386092409,22271653981592,22271653981592
"05/14/2009",4711676569734,4711676569734,22336365531026,22336365531026
"05/17/2009",4713161633934,4713161633934,22339505230880,22339505230880
"05/20/2009",4716258243184,4716258243184,22344469602794,22344469602794
"05/22/2009",4861883414544,4861883414544,22454243680198,22454243680198
"05/27/2009",4896506145145,4896506145145,22480493197120,22480493197120
"05/28/2009",4905178456643,4905178456643,22495212270153,22495212270153
"05/29/2009",4921295488355,4921295488355,22506169823317,22506169823317
"06/01/2009",5022833827332,5022833827332,22581411246628,22581411246628
"06/02/2009",5065587458067,5065587458067,22616034475873,22616034475873
"06/03/2009",5065859647440,5065859647440,22616650902495,22616650902495
"06/04/2009",5066295860724,5066295860724,22617619010340,22617619010340
"06/05/2009",5067504196884,5067504196884,22620555256971,22620555256971
"06/09/2009",5166304223948,5166304223948,22719744892826,22719744892826
"06/10/2009",5403133485974,5403133485974,22929873116560,22929873116560
"06/11/2009",5503241829774,5503241829774,23036077097251,23036077097251
"06/12/2009",5511930728118,5511930728118,23058830461951,23058830461951
"06/13/2009",5545056774151,5545056774151,23084630411515,23084630411515
"06/14/2009",5549764543327,5549764543327,23088553874044,23088553874044
"06/15/2009",5561768186884,5561768186884,23105867436371,23105867436371
"06/16/2009",5711062412860,5711062412860,23383381769069,23383381769069
"06/17/2009",5721134161072,5721134161072,23392525388433,23392525388433
"06/18/2009",5822195847750,5822195847750,23468364500729,23468364500729
"06/19/2009",5877311799935,5877311799935,23523687216344,23523687216344
"06/20/2009",5905421507271,5905421507271,23550454351967,23550454351967
"06/21/2009",5938636759007,5938636759007,23573263724084,23573263724084
"06/22/2009",5977264372142,5977264372142,23821331799609,23821331799609
"06/23/2009",5989317126869,5989317126869,23835032962866,23835032962866
"06/24/2009",6019268290648,6019268290648,23863280222098,23863280222098
"06/25/2009",6055436674478,6055436674478,23920609636962,23920609636962
"06/26/2009",6078938696388,6078938696388,23945917361154,23945917361154
"06/29/2009",6079792706513,6079792706513,23949930435281,23949930435281
"06/30/2009",6128046630735,6128046630735,23988744935174,23988744935174
"07/01/2009",6143685736613,6143685736613,24002569413128,24002569413128
"07/06/2009",6165477620384,6165477620384,24018772807661,24018772807661
"07/07/2009",6168283174035,6168283174035,24021828395289,24021828395289
"07/08/2009",6172080285789,6172080285789,24024114825881,24024114825881
"07/09/2009",6186521399899,6186521399899,24034669573299,24034669573299
"07/10/2009",6234732156151,6234732156151,24072934364429,24072934364429
"07/11/2009",6260123701751,6260123701751,24091176282344,24091176282344
"07/13/2009",6262502423097,6262502423097,24093464554229,24093464554229
"07/15/2009",6297124354495,6297124354495,24168788728075,24168788728075
"07/16/2009",6306018214252,6306018214252,24189209286995,24189209286995
"07/17/2009",6323243892514,6323243892514,24203932825416,24203932825416
"07/18/2009",6323362118877,6323362118877,24204234036260,24204234036260
"07/20/2009",6324553138172,6324553138172,24206723022025,24206723022025
"07/21/2009",6332999555004,6332999555004,24214904210759,24214904210759
"07/22/2009",6338718462641,6338718462641,24224003975435,24224003975435
"07/23/2009",6339190320833,6339190320833,24224426624326,24224426624326
"07/24/2009",6342603719993,6342603719993,24227603706293,24227603706293
"07/25/2009",6374909597535,6374909597535,24255239424196,24255239424196
"07/26/2009",6381401553160,6381401553160,24260597734974,24260597734974
"07/27/2009",6386915745948,6386915745948,24264631548734,24264631548734
"07/28/2009",6387601407096,6387601407096,24265091888066,24265091888066
"07/29/2009",6387606339144,6387606339144,24265103148750,24265103148750
"07/30/2009",6387648524135,6387648524135,24265207771454,24265207771454
"08/01/2009",6388407252710,6388407252710,24265979431731,24265979431731
"08/04/2009",6394814347726,6394814347726,24269598832468,24269598832468
"08/05/2009",6396849742907,6396849742907,24271301157972,24271301157972
"08/07/2009",6396915760435,6396915760435,24271483942007,24271483942007
"08/11/2009",6601952422231,6601952422231,24443368342080,24443368342080
"08/12/2009",6703674843843,6703674843843,24520072371502,24520072371502
"08/14/2009",6736380880981,6736380880981,24543086811006,24543086811006
"08/17/2009",6742426062054,6742426062054,24548457023922,24548457023922
"08/18/2009",6755982570490,6755982570490,24559740923557,24559740923557
"08/19/2009",6758437094508,6758437094508,24561697950194,24561697950194
"08/20/2009",6759776554554,6759776554554,24562531473601,24562531473601
"08/21/2009",6769660687870,6769660687870,24590618212487,24590618212487
"08/22/2009",6785744694662,6785744694662,24603776381093,24603776381093
"08/24/2009",6902071932921,6902071932921,24681284003122,24681284003122
"08/25/2009",6912543482835,6912543482835,24693202654798,24693202654798
"08/26/2009",6923244997776,6923244997776,24702103538631,24702103538631
"08/27/2009",6923287764458,6923287764458,24702214739039,24702214739039
"08/28/2009",6946559600909,6946559600909,24867569551908,24867569551908
"08/31/2009",7055130297987,7055130297987,24951170120098,24951170120098
"09/01/2009",7339831310533,7162360480141,25131373028611,25024675781776
"09/02/2009",7478502769513,7301031939121,25238134804160,25131437557325
"09/03/2009",7478504934177,7301034103785,25238140168261,25131442921426
"09/04/2009",7479190959508,7301720129116,25239215267984,25132518021149
"09/05/2009",7590839400798,7412996922566,25322325169176,25215398083138
"09/06/2009",7751322079100,7573369817988,25433918703077,25326927733813
"09/07/2009",7966735544035,7786109489003,25607512198161,25498917358009
"09/08/2009",7981957901712,7801331846680,25616901602176,25508306762024
"09/09/2009",7999105205595,7818479150563,25627415661607,25518820821455
"09/10/2009",7999330084383,7818704029351,25627615837467,25519020997315
"09/11/2009",8017458505411,7836832450379,25646878825329,25538283985177
"09/12/2009",8018294336532,7837668281500,25647417343986,25538822503834
"09/14/2009",8044699537371,7864073482339,25665585570306,25556990730154
"09/15/2009",8368919608085,8188293553053,25997419139173,25888824299021
"09/16/2009",8572145183388,8265380389038,26148322079238,25958175753482
"09/17/2009",8650099938485,8324219430549,26205136415732,26001855186665
"09/18/2009",8677732413167,8351851905231,26228899638474,26025618409407
"09/19/2009",8684200997293,8358320489357,26236596919159,26033315690092
"09/20/2009",8690821218524,8364940710588,26241654845877,26038373616810
"09/21/2009",8751435442420,8425554934484,26334524171071,26131242942004
"09/22/2009",8756432901508,8430552393572,26343249502405,26139968273338
"09/23/2009",8892125496376,8566244988440,26427922991764,26224641762697
"09/24/2009",8937667977308,8596737204440,26660083444656,26447478614921
"09/25/2009",8947267378680,8606336605812,26666736078524,26454131248789
"09/26/2009",8965069740849,8624138967981,26678868065354,26466263235619
"09/27/2009",8995982723000,8655051950132,26699796601387,26487191771652
"09/28/2009",8996036985928,8655106213060,26699824846339,26487220016604
"09/29/2009",9000912836654,8659047667286,26703847093009,26490543202132
"09/30/2009",9000927341118,8659062171750,26703855381636,26490551490759
"10/01/2009",9005050823491,8663185654123,26708065488951,26494761598074
"10/02/2009",9017299686022,8675434516654,26716962261144,26503658370267
"10/04/2009",9018026293902,8676161124534,26717467465830,26504163574953
"10/05/2009",9022200601606,8680335432238,26723506485399,26510202594522
"10/06/2009",9027654136948,8685788967580,26728370559506,26515066668629
"10/07/2009",9130297519692,8788432350324,26800883482179,26587579591302
"10/08/2009",9139439748403,8797574579035,26809011021773,26595707130896
"10/09/2009",9139729444029,8797864274661,26809273939071,26595970048194
"10/11/2009",9140828214789,8798963045421,26809940085731,26596636194854
"10/13/2009",9566299684215,9224434514847,27100380713276,26887076822399
"10/14/2009",9567252866476,9225387697108,27104250443844,26890946552967
"10/15/2009",9613155388937,9271290219569,27246667705176,27033363814299
"10/16/2009",9635622542514,9293757373146,27308175444289,27094871553412
"10/17/2009",9635773059666,9293907890298,27308278554742,27094974663865
"10/18/2009",9637300807434,9295435638066,27309347778064,27096043887187
"10/19/2009",9643425959586,9301560790218,27345998595157,27132694704280
"10/20/2009",9644264421033,9302399251665,27347739705417,27134435814540
"10/21/2009",9649967338242,9308102168874,27352438339734,27139134448857
"10/22/2009",9653751103309,9311885933941,27361061302953,27147757412076
"10/23/2009",9655486775099,9313621605731,27363385020064,27150081129187
"10/24/2009",9656168200685,9314303031317,27363968517399,27150664626522
"10/26/2009",9656555486921,9314690317553,27369060677870,27155756786993
"10/27/2009",9670432736217,9328567566849,27435007685506,27221703794629
"10/28/2009",9681868410928,9340003241560,27445174536977,27231870646100
"10/29/2009",9687853126620,9345987957252,27450304174017,27237000283140
"10/30/2009",9691508851557,9349643682189,27453931427416,27240627536539
"10/31/2009",9691593431554,9349728262186,27454135165272,27240831274395
"11/02/2009",9709874062776,9368008893408,27470948323435,27257644432558
"11/03/2009",9726529654395,9384664485027,27485556580644,27272252689767
"11/04/2009",9730416711146,9388551541778,27491489461635,27278185570758
"11/05/2009",9733567777035,9391702607667,27493619640908,27280315750031
"11/06/2009",9734151991411,9392286822043,27496235498230,27282931607353
"11/09/2009",9734155313088,9392290143720,27496243005222,27282939114345
"11/10/2009",9746017898801,9404152729433,27562346044567,27349042153690
"11/12/2009",9746041112392,9404175943024,27562411594547,27349107703670
"11/13/2009",9746819108082,9404953938714,27563794425562,27350490534685
"11/15/2009",9757832952138,9415967782770,27571316495936,27358012605059
"11/16/2009",9852520087767,9510654918399,27641808766012,27428504875135
"11/17/2009",10039824265032,9697959095664,27765793974941,27552490084064
"11/18/2009",10134222995215,9792357825847,27834555325432,27621251434555
"11/19/2009",10265984266446,9924119097078,27926120894215,27712817003338
"11/20/2009",10356202597341,10014337427973,27988034934025,27774731043148
"11/21/2009",10363123580109,10021258410741,27992461747011,27779157856134
"11/22/2009",10411218842754,10069353673386,28024489480830,27811185589953
"11/23/2009",10416442136555,10074576967187,28028489016631,27815185125754
"11/24/2009",10484076440509,10142211271141,28074442939662,27861139048785
"11/25/2009",10496268933538,10154403764170,28086464734391,27873160843514
"11/26/2009",10500510137386,10158644968018,28089650958255,27876347067378
"11/27/2009",10627606582551,10285741413183,28186230275705,27972926384828
"11/28/2009",10698945629715,10357080460347,28318860782582,28105556891705
"11/30/2009",10725388546706,10383523377338,28341772698076,28128468807199
"12/01/2009",10814163024772,10472297855404,28492646535093,28279342644216
"12/02/2009",10867673393712,10525808224344,28612519826867,28399215935990
"12/03/2009",10878361134436,10536495965068,28638259497649,28424955606772
"12/04/2009",10878438077745,10536572908377,28638406230270,28425102339393
"12/07/2009",10884873139700,10543007970332,28645036448586,28431732557709
"12/08/2009",10902379304921,10560514135553,28656788847275,28443484956398
"12/09/2009",10902935512436,10561070343068,28657507951180,28444204060303
"12/10/2009",10912252011555,10570386842187,28684289044193,28470985153316
"12/11/2009",11024780532954,10682915363586,28793233936915,28579930046038
"12/13/2009",11024786561203,10682921391835,28793250300009,28579946409132
"12/14/2009",11039676897838,10697811728470,28806295621252,28592991730375
"12/15/2009",11264841708551,10922976539183,28959577522453,28746273631576
"12/16/2009",11324181050694,10982315881326,29001276163705,28787972272828
"12/17/2009",12058123845478,11716258676110,29558623845640,29345319954763
"12/18/2009",12137618711487,11795753542119,29611251747537,29397947856660
"12/19/2009",12137848549697,11795983380329,29611360603934,29398056713057
"12/21/2009",12178774516706,11836909347338,29639597615624,29426293724747
"12/22/2009",12252676308846,11910811139478,29687562515696,29474258624819
"12/23/2009",12341441595482,11999576426114,29747972756434,29534668865557
"12/24/2009",12404832692772,12062967523404,29790696089948,29577392199071
"12/26/2009",12418638004460,12076772835092,29799308733296,29586004842419
"12/28/2009",12419105816216,12077240646848,29799598559919,29586294669042
"12/29/2009",12421545852121,12079680682753,29801392102522,29588088211645
"12/30/2009",12428920810003,12087055640635,29809305499681,29596001608804
"12/31/2009",12441562127847,12099696958479,29818154738141,29604850847264
"01/04/2010",12442559307830,12100694138462,29820372209809,29607068318932
"01/05/2010",12475553756972,12133688587604,29843997616447,29630693725570
"01/06/2010",12531254608741,12189389439373,29885108464158,29671804573281
"01/07/2010",12595079313100,12253214143732,29928904644635,29715600753758
"01/08/2010",12651031752455,12309166583087,29972210707359,29758906816482
"01/09/2010",12656764708541,12314899539173,29976226278398,29762922387521
"01/10/2010",12700386613989,12358521444621,30021515686759,29808211795882
"01/11/2010",12834697455325,12492832285957,30119021774981,29905717884104
"01/12/2010",12835305769245,12493440599877,30120363564754,29907059673877
"01/13/2010",12848578237387,12506713068019,30131117150073,29917813259196
"01/14/2010",12863967748143,12522102578775,30145938063074,29932634172197
"01/15/2010",12872252905131,12530387735763,30152624522131,29939320631254
"01/16/2010",13088837483247,12746972313879,30305229442422,30091925551545
"01/17/2010",13189301207324,12847436037956,30365085610046,30151781719169
"01/18/2010",13239122533533,12897257364165,30396886284012,30183582393135
"01/19/2010",13384272619148,13042281663777,30480273310943,30266691971290
"01/20/2010",13441079356668,13099088401297,30531551221315,30317969881662
"01/21/2010",13495649202084,13153658246713,30643247463475,30429666123822
"01/22/2010",13630225142549,13288234187178,30749429156452,30535847816799
"01/23/2010",13772183831429,13430192876058,30844473708926,30630892369273
"01/24/2010",13817832305139,13475841349768,30878357017234,30664775677581
"01/25/2010",13971188516241,13629197560870,31040916167362,30827334827709
"01/26/2010",14291717141304,13949726185933,32070199315058,31856617975405
