Sample-768 Sample-770 Sample-772 Sample-774 Sample-776 Sample-778 Sample-769 Sample-771 Sample-773 Sample-775 Sample-777 Sample-779
215282_at 2.47810769100377 2.2201475233778 2.26304170487272 2.29572266996057 2.47304182760273 2.22148539484913 2.27911269382563 2.655981311238 2.34128567877111 2.3674866698435 2.16108468928227 3.06088314435061
220171_x_at 3.4221253604562 4.02228536114427 4.64175356550249 4.09548670823138 3.94124484047324 4.42758268339416 4.12373937558801 3.81928656252346 3.63074766916634 3.7450779740565 4.83200574214986 4.02272487967637
1559009_at 2.33459571520266 2.45626703731948 2.34020136548714 2.0973333914878 2.37827171368531 2.24407305515519 2.33020024064592 2.24597301397121 2.86023852676704 2.097738314027 2.34020136548714 2.08223779212662
1558048_x_at 8.04608138398739 7.35919147781369 7.11046025272586 7.24821196461854 6.84478180621127 5.7732363350383 5.53280605096057 7.56388765415687 7.03401211931584 5.66607729182491 6.96901216905223 6.43717230553163
1557798_at 3.75732171820676 3.75732171820676 3.65710965826362 3.48607050399694 3.73589676311641 3.83081714675273 3.53336042863776 3.46085443623958 4.1952993103528 3.99955148400612 3.32087519994572 4.11685097706995
224662_at 6.39490687970013 7.03726491578808 6.37231954105635 7.33403649107805 6.31449939940815 7.02086464164421 7.94257511767565 7.92611723039448 5.76625110819727 6.45527600461852 7.92847483216735 7.30614285533746
204372_s_at 7.61916095825352 7.31322062367942 7.56585994975643 6.60624976931482 8.08666289715335 7.66270680500274 7.29568782917628 6.83461998181701 6.81612424057585 8.31150172865441 5.83418201439387 7.4611727284785
213773_x_at 7.84410380482246 8.66178273879935 9.04929709477462 8.94453966510691 8.22107796778041 8.82217628335398 7.85059840622049 7.87604949792787 8.61603478843124 8.74918207494595 9.15641338575625 8.59400644597904
222600_s_at 5.91690374501931 7.31394657273579 5.83766331319455 5.83951296505281 6.15860124788957 5.83367514330524 6.1984970856117 4.83638703899718 6.86610261315603 6.41620389094489 3.97331235414832 6.7623043464229
1554460_at 2.0085764782761 2.01219699552617 2.09382086966856 1.95639059263793 2.32255947835016 2.06367737168621 2.02558265825453 2.36327678207128 2.12430471709713 2.07122562636945 2.47144768835995 2.53156216747132
211069_s_at 10.2351160167045 9.66981967041058 9.30343624042714 9.61826159139545 9.44738935028569 9.78592011524147 10.2150872760244 10.1952106648996 8.51778303420246 9.595900258875 10.4335148377908 9.85181571118492
1558603_at 2.65662508660867 2.87200986697935 2.81585684042069 2.67479797762177 2.44090479533522 2.65002341725944 2.57006763352996 2.85068369727729 2.78445895790667 2.80224233044628 2.77370089282312 2.95727735730369
209808_x_at 4.91056475597179 5.82517947942379 6.21853618801909 6.19197639978879 5.35800796094774 5.81256336777647 5.39090056394217 5.57209087975362 6.11430943511763 5.36173963600726 5.79934654429332 6.17346731748276
224417_at 5.30366730797351 7.3650215762569 6.13002045782211 5.80806466868951 5.70702805368989 5.59524560370617 5.71640606725288 6.89950209864072 4.91817387126872 5.00636129943531 4.95707836956919 5.63464947799019
214608_s_at 3.59173126474378 3.23454927061566 4.52759251109307 3.4536326767991 3.66625687327721 3.35112806065078 3.44805659752861 4.1454402478726 2.99122653019715 3.51270638152846 3.10659695085132 3.5177722449295
224542_s_at 2.82637950947549 3.12286510257434 3.17567388532664 2.54799992758187 3.32665680715778 3.03681163983557 3.00154886479735 2.84289653140981 3.44070821936096 3.0688780144024 3.40285208310321 2.74158097067842
233522_at 3.63781654168797 3.51663069881949 3.64385047940899 3.47516667850051 3.7657891132963 3.41177787871782 3.47038642782851 3.51012507818807 3.73953397093133 3.67053562670109 3.31928488934105 3.93655690555669
1553067_a_at 3.63371455269083 3.50666958945663 3.48781116616033 3.52071585239591 4.52626595642873 3.21576821896876 3.19127087803214 3.25654207134987 4.17483807276985 3.84445637542268 3.52299447382715 3.78091336976477
206817_x_at 6.2670551309713 6.17666314436163 6.48714131636833 6.22467948505547 6.55083463968001 6.00436906892942 6.22254701513864 6.12233074798315 7.07781625390247 6.58763074876787 5.89022578947481 6.40798849969304
225236_at 5.50723763260466 6.28926339935001 6.04644017729944 6.26324153937564 5.71535640481978 7.00765037059838 6.62883457756746 6.74622703445528 5.83510893050733 5.71535640481978 7.17492046892638 7.43198509202015
220564_at 3.5568094053909 3.69183525149455 3.73624878906612 3.62713506264951 3.82351483590349 3.58202088143522 3.93787358735225 3.836473055503 3.75033046227972 3.78805787633208 3.648381886414 3.70704074392538
243038_at 6.53078307860701 5.37074218100414 4.60300719737639 4.37225920406939 4.13762368145612 4.58518930957817 4.94518997379646 3.66707641124451 3.96118268158965 4.48573890013754 3.63112432962566 4.77445506178088
32723_at 4.54010375840471 5.27672503313315 4.23686063621765 4.80935195232841 4.39083491573719 4.92925417869083 5.23998101335128 5.34046441902927 4.67084496241606 4.83239836886881 5.14779540776706 5.29269890120517
235693_at 6.96533060555454 6.52847415860111 6.64733757680122 6.21061557454261 5.94128202140637 6.57108403276713 5.89291188137748 6.60009280136253 6.17934404568827 6.05338758108678 6.12392990856801 6.55795760710451
1552680_a_at 2.94463518756555 2.60060175932968 2.54306371241716 2.16631609846997 2.68211103224528 3.14332359516527 2.65610031626855 2.74598712209159 2.43203149263401 3.62213449698383 2.35773765400779 2.35773765400779
244661_at 5.76149396053191 3.84389460785425 2.90340324430113 2.58999971789984 3.64509580868103 3.49884449901864 5.05961631245908 4.81406438590377 3.73870018865851 4.78720254751255 3.77207072816802 4.72527332668189
234034_at 3.27323014849093 4.01269953687168 3.61288697599491 4.61627517326937 3.90864154185261 4.56908196384892 4.47786821138551 3.33837007617058 3.59438003848068 4.62415825619908 3.3797916975182 3.79841310081738
204410_at 2.42947166511109 2.17307338241198 1.93433848290008 2.28458349624872 2.39027366856058 2.40280003895669 2.23585542518636 2.26556536180014 2.22426677451049 2.08888006396509 2.49199621360892 2.2859539030749
1558941_at 3.01488533276822 3.24669996556283 3.40756230260867 2.96064344758817 3.15537886493094 3.44281549216612 3.00856272499751 3.2917833478541 3.54655697082914 2.96699744953242 3.23708383970366 2.58053650577158
228758_at 8.02588046598816 8.11978798815227 7.63219355251233 6.98854550396386 7.48121014412122 6.76231154268332 6.18761590810005 6.33354929430252 7.93056945852814 6.84940753636855 6.5221251615635 6.78030221461422
238287_at 2.2284576072688 2.14860084318507 2.14788128124511 2.48072486459581 2.37892745267783 2.27730141270294 2.04632632557948 2.30379417810685 2.37722506577173 2.33560132790871 2.15055469190977 2.16262045610614
216928_at 3.28559238485906 3.38499087419759 3.79468119177552 3.53707170545726 4.24418713042246 3.54321403473832 3.51882398813543 3.68871521308336 4.12255193916763 3.46645414878469 3.21674459923397 3.51284771143543
1562820_at 2.03877591639868 2.07799764170725 2.42342170614041 2.16182314840046 2.12392375386245 1.93409775505553 2.07812199888154 2.60587298778421 2.01895198140429 2.01943782988168 1.89948408388842 2.05311476720477
209415_at 7.39540017893357 7.13873125304344 7.75994391936419 7.31023586617495 7.56575726139363 7.22102226116824 6.98934549658118 7.48744621582628 7.67395623790947 7.31146377808617 7.16129618238514 7.13334553783881
231558_at 2.64257420339821 2.5985053106614 2.60386988078658 2.91085566383823 3.18226543889452 2.40475567375134 2.54708000733909 2.72895007239783 2.82744923405989 2.84077887786069 2.6815482837834 2.84129982285313
241454_at 3.00926239984032 2.75551151042524 2.68838152844174 3.21613753701788 2.59830808171015 2.94834332048475 3.04729673709911 2.55076468523792 3.00247853766751 3.10318547759614 3.89713530135905 2.71890896570202
1563796_s_at 4.63288399603371 4.38867507791131 5.01315485324705 4.75274825416903 4.56487803277307 4.6661136607113 4.68170654526259 4.65114144139107 4.9068054764993 4.87765422824768 4.9019317974971 4.55301131569625
1554382_at 4.6574573849861 3.4837062648799 4.1211634036348 4.33139044021618 4.2259727016738 3.90307199213679 4.03626619121377 3.71165043659897 4.24722894008098 4.11717641447545 3.89377396354997 4.05230423707152
243842_at 2.40948553231666 2.09427430474397 2.09765434066777 2.07747251047746 2.34465129312793 2.22582198714172 2.27456155556309 2.0588167716342 2.86714551592368 2.16945323454314 2.46923509389614 2.37060855524425
234874_at 3.76421436375606 4.84161151945691 4.48240897733359 4.83287517056413 4.1828802687747 4.36179628572435 4.08865231392279 4.90549485278041 4.36758531777048 3.4659667075137 4.11335317995653 4.81261595064347
236710_at 2.83913125996209 2.87193142319048 3.48133427602829 3.30505140182086 2.80908610623597 2.60943104290609 2.89406742078656 2.73121098330891 3.31922953008698 3.08856886638032 2.85969642162621 2.69095548334561
235320_at 5.44569561246561 5.83319005981615 4.01067663258166 4.14306948855745 4.43427733411906 5.76012581233983 5.87341444006583 4.75827755974516 4.19867796001324 4.95605297770487 4.99954619602726 5.74373615078929
243157_at 4.85539071275688 4.7782366243279 4.9061512833995 4.91056475597179 5.02024830722542 4.37850649315944 4.85539071275688 4.80560105286103 5.35800796094774 5.08079093829679 4.63410247426812 4.64932829399953
1559421_at 3.52348819494634 3.64561004444571 3.88072468655345 3.51365470704847 3.84696108771734 3.71926056836602 3.49859960950744 3.67091685893098 4.30437001871757 4.02106217213216 3.20480644765624 3.70061327850693
228630_at 7.56405112790143 7.65853295923156 6.45530276240202 7.72983994689472 6.72713655506818 7.8656060419454 7.17550992616221 6.67572798899739 5.82380367689362 6.55367412972528 7.519717509127 6.45582559733544
231549_at 3.44019249285862 3.42358202300359 3.32486734720317 3.13553659529342 3.790300338007 3.18096671562427 3.3664034470107 3.4268821894114 3.60142230974244 3.44544038015798 3.2703011457198 3.45757315731935
215870_s_at 6.72888425270059 3.86926636827913 3.75196879107461 5.54207251939329 5.26380839336596 2.91742187042318 5.06657555141045 5.20299883762933 3.54229919950726 5.13413353216143 5.38977934841158 5.31412597399781
238642_at 6.16846157014978 7.17027863597888 7.88190013179299 7.93473469476395 8.05273984316765 7.71894261647137 7.33812298408823 7.41410535632387 8.62774692188616 9.02278288666549 7.72515265037404 7.68298985153267
239148_at 3.02009496683998 2.99352127241355 3.22681084883699 2.84425678165186 2.9044083936648 3.10485865233869 3.50845674448565 3.18198487676445 3.68062692605039 3.66858679647256 3.79961422631222 3.90327957838604
237192_at 2.32953832349324 3.14744414613436 2.47608642249124 2.61348211482271 3.09323057407621 3.09396299552875 2.3393422879257 3.60583803511793 2.85193071905525 2.94946534788086 2.1399442740451 2.34213196596773
208091_s_at 7.9608962838443 8.70483268175499 7.59943351392377 9.10552827521486 8.67157763509694 8.72757436565458 9.88616863292044 9.41805318729848 8.54356208679219 9.85382220815279 9.42139881115587 9.6852445644744
241460_at 4.53549069518362 7.35944433963382 7.81642628750914 6.32943006482464 7.67469510900437 6.23753690154583 6.14549578148551 4.78066480198343 6.92353513820144 6.75670229804484 6.43294977074236 5.87466155402107
233370_at 4.23423631535542 3.65389440307393 4.05542931376729 3.89312176966462 3.44776678946996 3.64848357790394 3.59203372934435 3.74689872864294 4.03126142302956 3.72660637817909 3.72669009957997 3.80180195387895
218870_at 4.99725843985906 5.25216888407325 4.70989103793863 5.95720949105248 5.59100057461739 5.1782973518774 5.52298814673137 3.97204381166264 5.13298241525457 6.46358492027526 6.11738319197132 5.6683012957178
218051_s_at 5.1271384245631 5.30514259815843 5.71603434804563 7.45195943231537 6.03165351139203 6.61401721879886 6.08446161058804 6.49118078078583 6.26117027799887 6.94030878172201 8.60312570120013 6.61117733091086
238298_at 3.31310685220245 2.99875540771366 3.46844478408469 3.65495128952114 3.28477688257946 2.84656383925365 3.29586705592989 2.95407176253261 3.34671747610549 3.00321945089796 4.19002468138452 3.84535183691683
233204_at 7.24261730237716 5.44659170651565 7.2756087017775 4.94939344990926 5.87708914004688 5.35446942925322 4.42433606134567 4.55581360098151 5.07699733327772 4.45423628421821 3.86290468540002 5.04626364999374
221961_at 5.58668607013502 5.839473550595 6.39109566464403 6.00847519174777 6.23980359807779 6.47753744951263 5.54162722416679 5.44608029766102 6.45509969183975 6.13634736270859 5.37055159118397 6.02783928062118
1553207_at 4.37478487106381 4.33648012872076 4.54116642339428 4.25002678508353 4.46664655321652 3.98665033127275 4.27857839265246 4.20778205658775 4.65523131821409 4.53274690818503 4.03407730276504 4.61762144035501
218488_at 7.29654271456035 7.07234677518103 7.42257690418358 7.43923264256273 7.01736962800759 7.17449327096758 7.23452402370088 6.64824628614902 7.26785002861632 6.82777935762399 8.15168984846717 6.64470335028149
244774_at 8.12490189638595 4.02890929584747 2.91193888029591 3.06709278922019 2.88888177786459 3.06709278922019 6.86169722021449 2.40610049525988 3.20507980872137 3.19087035990304 2.46422940961972 4.61144209101474
237928_at 1.9264583485724 2.38038425212802 2.19375604985285 2.3458134354019 2.39589309193367 2.13816550055574 2.2588824858705 2.23587884562554 2.72379845399303 2.14204100380651 2.14461933928134 2.12501196450276
