GSM947269	GSM947270	GSM947271	GSM947272	GSM947273	GSM947274	GSM947275	GSM947276	GSM947277	GSM947278	GSM947279	GSM947280	GSM947281	GSM947282	GSM947283	GSM947284	GSM947285	GSM947286	GSM947287	GSM947288	GSM947289	GSM947290	GSM947291	GSM947292	GSM947293	GSM947294	GSM947295	GSM947296	GSM947297	GSM947298	GSM947299	GSM947300	GSM947301	GSM947302	GSM947303	GSM947304	GSM947305	GSM947306	GSM947307	GSM947308	GSM947309	GSM947310	GSM947311	GSM947312	GSM947313
HMGB3-10378	554.17	713.903	843.621	708.218	678.281	691.255	428.232	497.411	489.097	439.683	423.193	1261.14	599.936	533.293	532.719	501.878	663.486	374.136	489.789	239.251	403.651	477.861	1007.19	1191.97	1503.72	305.486	842.532	2475.45	1091.95	606.121	1151.39	711.078	2876.25	512.333	1263.1	1104.08	768.969	5883.51	1125.69	3518.17	2144.55	1745.93	925.485	1758.46	1125.41
TRIM44-23281	2312.59	1289.97	2022.83	1119.37	1926.73	1406.31	1745.12	1699.48	1876.18	2661.89	2742.36	2564.59	2993.97	1969.35	2069.17	3345.75	2865.89	1900.87	1829.73	2385.79	4770.11	2196.38	657.411	1145.75	1827.41	1377.1	2384.43	1860.5	1465.28	643.363	5162.92	1703.34	2507.59	1040.04	1719.65	679.775	1039.87	1346.87	907.335	667.513	3135.05	1140.77	156.719	1675.2	161.345
DPH5-29309	315.506	377.148	739.907	170.6	906.475	252.615	550.687	373.633	226.774	687.082	634.731	553.352	298.873	669.488	294.976	553.365	615.485	438.661	666.543	1149.7	208.574	372.123	804.097	547.602	127.434	475.683	282.437	413.548	448.062	100.155	349.93	243.229	560.318	150.848	178.383	693.766	539.193	533.083	471.95	318.849	508.117	522.711	1077.93	819.52	661.835
POM121L2-22439	178.45	166.375	219.645	87.7767	315.265	243.381	142.907	233.875	434.276	150.306	135.653	150.038	136.518	464.421	149.545	131.86	175.509	452.374	545.164	408.117	217.959	119.007	1081.59	302.891	267.829	176.521	175.177	138.167	263.052	297.532	390.259	112.399	297.436	399.968	124.129	924.769	967.538	798.051	708.852	468.093	208.059	530.384	741.84	772.101	749.865
SP3-40367	1029.28	1078.83	793.499	493.538	714.898	649.622	796.103	642.662	1124.81	1222.1	1243.52	682.985	1434	1867.81	909.435	1637.99	1541.87	2084.64	1339.32	1025.34	1002.67	579.12	548.629	367.319	759.761	856.157	322.921	1138.46	127.527	585.739	615.528	354.352	387.987	539.851	599.482	648.518	550.385	414.711	300.606	906.323	1421.32	871.359	667.155	539.123	511.026
CXCR3-22813	10.3609	16.2154	26.8862	112.798	15.6643	17.9491	33.5435	87.947	142.516	8.59508	22.1896	190.189	7.68449	60.756	147.246	10.0128	9.29837	32.8479	92.3912	34.5925	38.0741	102.336	72.4531	87.7765	116.814	22.5897	38.404	152.394	23.2406	37.8049	13.4715	89.6448	35.8283	53.0031	19.0873	131.699	99.1983	40.8927	256.018	56.2238	24.3591	68.2275	29.3031	27.5256	117.039
ARHGAP26-22024	110.186	9.87399	18.8962	22.9235	23.6511	86.4912	10.3058	5.24369	9.49872	5.91157	4.26029	9.31855	2.88396	76.3834	7.41084	3.9196	4.57667	16.4509	113.009	31.9585	4.87479	75.7136	59.6263	7.44658	78.1805	61.2678	8.80633	17.5003	8.66146	146.546	11.7478	14.9179	160.349	20.6404	11.188	55.8952	68.8355	26.3989	236.087	46.0367	54.5312	40.7734	65.9336	44.4774	400.256
RIMS3-17440	211.989	353.919	22.0265	344.31	163.205	169.215	101.738	64.3169	32.736	44.5114	58.2179	138.592	13.6163	234.176	194.572	86.0996	20.283	112.947	240.205	96.9051	272.339	269.829	812.37	354.44	607.31	292.898	410.625	94.4036	616.838	349.879	421.377	51.0292	281.344	289.767	345.989	651.23	909.985	988.704	878.044	1258.57	502.12	687.023	940.276	448.212	1244.93
MBTPS2-1650	42.9439	151.916	128.632	11.8868	157.53	30.7293	34.048	35.8553	131.585	57.5057	22.7696	18.0318	91.4561	23.1016	118.369	77.4882	10.2601	39.1589	45.6877	39.1789	20.2962	50.0688	454.531	124.529	179.363	231.063	54.2718	13.8386	214.982	173.715	79.3326	113.975	199.807	185.366	29.8149	82.1245	33.0784	166.88	59.4514	90.5905	64.8493	44.5343	90.8421	44.264	56.1856
LTB-13953	103.466	169.023	124.488	51.2445	110.686	82.6338	165.48	150.494	239.855	316.091	256.767	389.61	666.449	647.752	369.718	104.8	87.7973	385.121	762.624	903.614	895.818	1094.83	1331.76	817.596	1119.34	493.738	1526.4	1322.51	523.665	1021.57	740.982	669.418	996.773	366.894	835.537	834.745	6292.55	743.595	1560.15	1819.84	1045.42	1326.76	1317	937.204	4139.61
