GSM947269	GSM947270	GSM947271	GSM947272	GSM947273	GSM947274	GSM947275	GSM947276	GSM947277	GSM947278	GSM947279	GSM947280	GSM947281	GSM947282	GSM947283	GSM947284	GSM947285	GSM947286	GSM947287	GSM947288	GSM947289	GSM947290	GSM947291	GSM947292	GSM947293	GSM947294	GSM947295	GSM947296	GSM947297	GSM947298	GSM947299	GSM947300	GSM947301	GSM947302	GSM947303	GSM947304	GSM947305	GSM947306	GSM947307	GSM947308	GSM947309	GSM947310	GSM947311	GSM947312	GSM947313
TIPRL-1011	465.859	671.683	1684.67	661.794	1516.18	698.981	1816.66	1697.7	695.98	236.612	1313.73	739.338	868.549	722.895	590.346	1220.47	1402.42	591.065	1386.27	997.579	177.384	1204.29	717.563	1107.92	453.158	901.967	964.161	1966.73	880.185	781.591	1383.74	536.862	2466.33	2268.57	268.588	1436.73	1566.27	1149.61	1632.77	1850.16	420.587	1125.94	1173.12	1129.77	1719.29
SHMT1-22949	128.837	99.2113	137.514	138.553	140.524	258.585	190.527	11.1718	218.678	28.079	88.0159	307.13	103.547	83.4755	91.4084	61.0716	71.0059	42.8421	512.744	574.015	142.97	112.54	36.9354	9.87376	126.614	9.12109	315.186	179.067	141.009	282.591	149.055	106.796	416.384	333.774	63.1763	243.721	538.697	154.853	613.046	307.023	157.252	155.894	421.693	148.971	395.546
CNTNAP4-1486	30.1019	28.9017	62.2882	173.329	28.8751	25.7134	155.385	64.7404	28.383	17.8838	8.77483	18.0115	90.8201	138.862	43.9162	25.265	114.386	203.265	344.032	62.4747	4.32811	11.7764	41.3837	38.5488	480.134	21.851	46.5716	32.8875	26.8422	16.5466	40.3394	118.913	39.7772	32.3242	14.1267	715.312	222.554	69.5365	260.409	120.218	99.7332	125.647	74.859	43.6244	218.784
THNSL2-24564	122.211	48.0427	361.166	355.647	383.296	209.762	175.762	10.7583	226.495	324.065	160.104	199.863	108.603	347.5	270.033	90.4939	79.2754	589.575	765.821	674.634	156.335	238.555	34.1242	18.3575	975.446	331.802	243.685	71.448	139.668	44.344	11.1173	381.015	300.039	375.04	238.946	702.217	666.236	493.965	291.902	791.761	513.802	852.151	614.101	113.488	459.485
BRI3-34702	600.005	569.424	438.387	890.383	465.762	609.41	541.18	683.109	828.806	741.553	721.319	397.932	1059.33	639.721	540.369	445.08	519.607	796.364	653.28	945.213	676.817	837.394	105.747	1213.07	174.98	937.294	1392.45	602.107	444.943	736.29	509.511	577.946	701.397	849.877	1063.95	981.383	480.495	1273.69	1073.99	1312.04	662.899	1003.97	1349.81	946.607	2223.55
CFAP157-3402	891.485	13846.6	5177.43	19276.3	9953.1	3478.99	16238.1	10789.9	39421.8	7232.56	826.663	28095.2	183.545	935.342	62200.5	482.4	1277.38	2681.72	4587.35	4980.66	343.527	2596.8	131544	50947.3	1169.59	4634.73	16449	10506.4	110948	134016	124205	33588.3	193803	86204.2	22015.5	47508.3	30420	2345.12	3585.65	22657.2	168.321	4134.2	6527.05	6136.86	92183.8
FKBP7-29261	1150.11	844.824	2704.7	1026.48	2044.78	756.998	1423.1	1983.96	523.089	504.12	700.333	441.265	509.486	1056.23	305.832	887.449	1591.7	1064.52	944.577	1261.1	923.728	564.439	678.495	235.691	1349.83	636.538	296.01	371.187	429.259	320.454	164.177	251.926	289.914	315.406	221.723	1166.18	907.86	606.1	956.89	697.511	638.197	1126.86	1385.34	747.186	1218.47
FGR-14969	213.613	249.08	160.318	334.054	28.8297	231.815	199.29	103.77	250.233	280.005	302.453	582.174	1962.32	408.955	1145.94	147.408	108.354	290.554	526.534	520.377	305.889	784.868	847.786	645.154	670.378	364.834	735.61	339.79	369.179	847.586	236.897	493.931	303.48	397.665	313.58	401.24	642.991	234.099	408.645	488.209	163.708	338.948	497.658	160.745	812.976
PDK4-12585	8.48308	96.9212	86.9199	91.8277	154.668	10.1728	71.262	32.0094	66.2672	11.4266	15.1309	10.2437	73.8354	33.4903	129.129	14.7085	53.8555	43.6992	48.9456	402.571	53.4812	101.061	142.613	37.2746	933.797	89.839	213.766	44.2233	216.112	25.8159	16.7812	11.5653	120.881	120.442	8.36124	158.1	77.4381	306.158	554.987	88.488	27.1981	71.695	471.273	155.937	476.554
DDOST-15200	544.416	593.669	311.469	607.715	692.742	370.655	968.862	730.767	656.206	1501.21	532.807	554.676	383.348	1055.57	315.427	584.24	510.539	1473.56	1083.51	943.783	987.86	503.743	610.646	631.56	534.388	453.305	286.219	1069.92	635.118	380.523	2238.95	1071.98	668.261	270.554	830.174	839.185	832.963	1753.6	368.202	808.087	829.47	843.545	1045.45	759.971	709.063
CCDC171-3482	80.0025	208.48	77.8117	189.742	83.9473	85.5821	28.1616	93.391	182.811	8.96689	90.2805	78.4967	72.141	26.1528	137.012	83.7461	51.9102	41.386	40.3285	8.56877	56.3406	4.7037	337.427	291.716	60.9555	15.4408	387.584	96.2883	117.186	32.7313	5.95426	14.5805	169.042	180.554	90.6806	93.7845	91.6626	73.8071	3.92945	141.999	28.9429	88.1224	79.3984	36.9561	57.2563
PPP4R3B-42136	32.1576	14.2447	83.6889	83.1384	11.8545	123.181	65.2298	8.6587	12.0497	45.9133	50.8721	23.9046	6.0596	14.742	18.7918	2.5847	16.1977	14.9587	64.5921	71.4923	7.02221	5.71968	97.7633	2.99793	413.422	135.233	10.589	7.87029	91.7083	41.5484	164.566	110.707	67.1161	14.8281	62.3412	35.0185	93.6192	40.9701	63.9143	7.51913	0.755289	49.6237	67.7066	3.589	54.4649
DBIL5P2-29451	83.4813	173.343	24.9092	192.072	100.03	153.479	83.6618	302.625	313.435	81.8377	142.257	153.911	68.5085	150.976	118.872	146.795	144.921	108.846	177.735	214.606	131.725	194.385	1014.69	18.4362	1142.28	188.947	115.721	148.955	145.109	361.583	46.3433	14.5323	31.4355	448.922	28.3247	336.638	87.7677	72.7779	49.7692	110.927	37.9555	48.1001	77.4951	54.2454	61.3068
FABP2-14085	31.6014	47.6798	33.0622	377.64	286.204	22.699	163.918	85.2252	100.159	37.2442	180.926	48.6962	46.2326	212.039	81.7111	56.5186	12.5945	272.111	33.0632	77.8648	85.6213	243.518	517.962	338.632	472.478	86.422	53.5234	22.7966	46.8945	60.456	45.6717	27.0632	56.5931	63.7912	25.1754	255.649	163.447	168.759	94.4533	64.3591	41.4822	323.854	72.4621	105.681	362.854
PDE6B-3366	469.131	210.999	180.425	483.319	227.04	164.89	116.746	245.931	436.172	226.372	290.294	402.624	211.267	62.9158	208.866	129.876	178.815	254.444	75.0941	71.9957	179.11	299.336	526.712	665.274	228.304	292.054	948.301	187.71	468.337	365.643	147.087	441.253	561.232	881.873	573.429	115.383	72.096	216.301	126.275	145.525	45.7457	514.744	485.8	47.0107	71.2371
DNAI2-27056	31.0716	63.5301	158.158	14.3051	79.4177	32.7411	5.71194	153.923	121.581	51.4752	114.842	50.1836	56.6353	31.9265	178.198	20.0638	9.92527	37.6515	17.6443	66.4954	32.3391	100.067	59.0174	263.487	1259.27	27.9375	231.486	20.4766	30.249	366.963	108.903	39.5961	180.053	12.6131	106.324	330.2	86.1458	55.1727	80.7865	92.7895	42.1316	71.7872	210.376	39.615	70.7463
GRM8-22217	30.8327	57.8845	7.61872	14.2173	6.60849	8.24292	9.46579	3.85145	6.83681	4.59071	4.64014	29.0412	2.95661	8.48117	28.306	2.59746	4.43869	13.9925	18.4872	86.5563	9.92532	89.6355	34.4626	11.6319	375.221	18.2335	80.2354	8.07673	6.06031	199.03	14.2024	6.8154	10.3016	300.05	13.0783	22.0622	38.2528	22.8179	35.3436	13.2322	16.4577	12.5197	60.97	38.9347	36.3055
PAX2-12852	21.3506	47.7864	22.937	29.0596	94.4362	210.935	51.8833	198.355	262.762	251.078	11.6473	1332.83	149.548	96.4659	255.954	183.51	153.14	181.117	269.412	353.559	172.07	34.4618	100.371	19.8592	847.89	437.375	106.807	255.65	22.7405	80.6533	3205.93	19.2531	914.805	1927.92	126.644	297.453	684.815	1070.77	1985.1	3510.07	180.873	191.76	647.77	239.554	498.842
CRACD-32347	240.222	117.128	226.188	216.54	346.743	389.57	187.741	214.805	137.104	208.089	300.42	117.09	132.283	84.4457	280.666	133.554	277.616	100.226	81.4967	212.569	195.412	323.08	191.627	233.421	710.971	289.248	259.931	523.094	406.745	88.2092	231.371	634.696	639.899	533.505	217.413	366.27	195.021	190.417	186.526	98.1809	99.2358	412.385	223.49	94.3868	147.404
ATF7IP2-33426	265.027	446.853	159.711	508.456	406.901	523.88	171.778	320.387	848.052	1172.42	598.11	748.843	509.958	973.486	1785.38	478.984	941.982	1994.42	1631.88	1301.94	455.12	253.886	357.288	794.562	986.135	349.241	751.103	673.634	1341.4	778.691	2569.3	992.339	1459.81	556.036	1840.49	2037.83	1255.28	1592.14	909.544	1548.92	923.699	1421.45	1333.45	1862.66	1859.63
LOC100128398-2898	8.18059	21.1115	5.57308	10.3339	12.7847	59.3526	36.6412	107.816	126.084	37.1137	38.831	82.5678	5.98364	139.324	10.4778	7.11986	94.2293	127.715	155.15	22.2979	44.5308	17.3552	22.0128	141.539	46.6623	13.09	211.672	148.639	22.0085	379.377	26.5588	20.5847	154.284	15.6505	11.3155	427.133	156.535	254.696	256.382	261.481	141.017	257.677	467.375	140.538	295.675
MAD2L2-28518	131.948	119.599	115.628	25.3552	337.436	27.1301	114.801	176.047	127.395	245.029	127.684	301.19	100.817	90.0063	139.898	72.9082	75.4053	159.366	100.063	271.272	97.5324	189.891	57.2992	121.965	468.9	26.945	211.558	114.42	23.0751	238.202	18.3784	32.2589	463.853	149.51	7.58803	210.35	79.4239	78.7222	101.448	180.891	40.9769	27.1038	95.917	77.6267	58.4128
LYRM7-33851	3641.93	3410.32	2255.81	3340.24	2265.87	2962.49	2588.03	1764.3	915.747	1278.06	1877.66	1279.81	1459.88	2147.44	1407	1970.91	2529.48	2280.73	1387.25	1096.91	2238.27	1005.25	218.742	1642.11	850.001	2812.59	1129.59	1805.31	1024.88	1570.18	940.963	2578.87	1450.77	1728.46	2135.18	666.562	814.366	763.427	612.385	953.739	2282.78	1261.73	713.643	1679.31	981.96
N4BP2-36491	295.142	122.747	62.8228	257.249	263.852	114.626	147.49	57.19	219.638	82.3932	234.161	108.045	127.908	94.5542	251.157	128.583	138.14	98.2493	107.352	213.78	110.512	36.7893	65.7046	16.1618	108.201	15.0377	64.2139	138.401	171.092	243.78	148.07	154.616	116.557	182.82	114.292	161.408	30.6934	90.1902	276.372	102.089	67.3479	125.305	181.111	111.287	245.166
MAPT-10561	204.643	307.654	300.052	787.688	272.911	779.422	215.199	280.255	370.475	319.644	385.588	155.146	114.015	134.352	159.121	232.766	186.594	204.004	313.792	212.9	194.086	133.905	1107.35	84.5741	1693.46	327.237	528.483	187.509	148.372	517.084	157.98	201	47.5985	519.012	140.534	298.601	110	397.42	235.961	480.529	73.9152	205.889	847.632	79.3675	255.939
ZNF557-25952	43.1683	235.56	151.528	366.637	63.9813	182.518	89.5151	69.8045	399.214	154.772	293.96	264.148	340.71	206	434.903	207.198	142.379	225.794	141.709	422.874	122.169	303.821	309.718	7.43255	109.492	33.8891	185.757	26.3448	901.713	139.453	506.286	176.853	83.9803	720.906	221.853	36.1352	89.9677	164.2	135.18	106.645	154.74	222.751	233.915	100.034	61.2598
GALK1-34406	215.108	402.585	161.405	147.087	239.152	170.395	196.703	164.68	429.751	51.6123	57.3187	134.296	61.6888	447.961	225.793	67.536	107.286	327.934	584.048	558.881	23.5232	117.899	439.569	50.9677	661.711	83.0718	502.682	71.9108	434.947	189.023	175.243	202.62	244.53	15.0169	194.137	1419.58	948.451	792.518	986.905	807.406	526.231	753.573	1448.58	532.163	1414.11
TENM3-4152	64.4023	21.012	21.1207	5.79685	59.9508	49.9231	6.19659	6.28816	71.6959	4.40452	9.80509	6.63623	32.5484	67.6608	344.043	6.75504	39.2255	14.7562	95.6546	51.6726	4.44697	11.0347	29.0499	174.779	236.709	142.578	95.9719	10.804	8.75163	26.8856	16.0255	7.68403	9.22754	16.6955	61.2657	38.1104	170.596	8.73434	118.118	91.6406	17.3807	101.281	172.875	20.1353	314.161
NAALAD2-37706	157.997	158.228	9.47483	195.187	121.803	190.53	251.061	254.471	120.463	29.2122	11.8903	15.5577	34.681	67.3558	149.009	52.8768	14.9009	114.574	23.3179	197.795	102.931	120.129	50.1776	22.9913	62.0057	84.4865	139.286	64.5736	15.6355	300.022	22.8258	23.6021	133.173	225.122	125.599	380.151	310.178	311.78	31.309	69.1116	26.5223	128.992	340.996	31.3879	181.137
LOC105378698-3885	277.001	435.449	615.407	575.317	208.446	887.023	323.577	572.754	489.781	215.08	477.934	582.598	595.345	339.937	508.972	495.95	493.567	203.643	522.316	556.745	453.39	668.084	1670.43	700.754	1896.97	343.449	804.688	561.308	794.798	2744.73	685.562	735.094	593.849	279.779	599.206	511.083	605.414	357.972	418.671	510.599	268.858	315.439	1100.15	351.051	518.623
SNCG-15113	28.6379	36.3018	27.1992	212.797	195.68	321.408	178.764	280.514	25.7895	48.4683	85.4064	49.8949	15.5853	99.6121	61.744	25.7534	23.1188	135.246	156.601	523.958	19.0189	32.016	88.6428	40.4198	83.3269	115.868	111.255	327.662	22.0593	96.481	13.669	36.3049	35.142	31.4498	35.2602	325.018	234.51	175.895	297.001	221.762	369.677	165.005	1379.07	189.405	1072.37
CAMK1G-21421	46.339	39.8111	205.812	325.838	444.855	65.6991	170.459	114.215	35.7205	145.611	12.6986	21.1461	22.0134	11.3521	17.9679	16.0443	44.8208	26.7585	31.1499	16.4314	31.8053	22.3026	282.858	27.2637	949.332	35.066	25.2365	34.3184	14.456	281.472	35.2661	34.9641	26.3934	236.391	16.4995	95.415	29.632	33.4689	29.8425	38.4043	11.4966	63.9618	72.5653	16.4455	217.406
SMAP1-23659	2688.02	1434.27	1067.87	1611.03	1088.27	1712.12	1240.03	551.826	1143.34	1909	1899.35	827.014	3058.3	2105.37	942.538	2046.66	1371.01	1859.48	1638.61	918.254	2571.95	1495.74	459.477	4085.12	67.1807	1597.56	2478.84	2912.15	1328.47	1293.07	851.869	3609.29	1097.54	1253.18	5201.02	1571.99	1298.69	2406.57	1049.18	1399.79	2193.26	1551.78	795.111	3899.64	1107.6
AP2A1-37866	64.3525	17.4644	5.47423	39.7878	25.0192	8.85808	12.3394	84.4108	39.1709	33.9823	7.51583	38.3331	6.6641	43.6947	21.0391	4.8541	5.82754	19.2762	29.9493	85.1572	5.18978	10.5181	89.1379	12.269	179.864	14.494	23.6902	17.3191	13.4764	10.4743	13.0012	15.4316	231.053	29.0767	14.2963	245.873	377.511	40.3315	23.954	100.429	118.291	37.571	281.838	38.1405	291.481
RHBDL3-35520	68.921	331.67	158.843	318.633	17.4604	79.2157	38.3817	18.8684	27.3213	229.626	37.7027	26.6826	59.9368	87.9277	12.8032	21.4549	20.4499	34.4392	36.0617	173.739	102.765	109.6	90.7277	73.9166	107.649	190.524	25.9723	96.5649	111.063	23.603	68.7668	72.8317	559.585	311.691	161.735	88.7212	72.7273	42.3338	36.8472	233.598	161.682	94.1038	392.31	140.819	148.821
PAPOLG-28129	1949.61	2532.79	1442.23	1615.15	1091.8	1814.3	1735.88	1102.42	859.721	1699.23	1487.33	677.939	1618.2	979.39	849.866	1058.67	1391.26	1040.23	503.763	951.376	856.254	972.917	638.303	629.842	1141.54	1498.01	782.44	2379.77	656.515	525.588	1170.29	1308.44	875.112	1029.38	1326.62	104.568	776.493	1247.05	666.687	541.748	1186.91	1073.96	262.872	1438.84	136.059
CFAP97-1611	15.6673	12.2616	11.3841	12.3804	4.42234	25.7913	10.7271	6.2138	10.4798	7.23631	1.94278	35.0706	3.66113	13.2967	15.6219	39.0574	14.6631	40.9602	36.6265	83.7729	2.3057	28.5996	605.288	9.84745	328.689	58.4909	133.443	12.563	103.816	28.3149	177.903	11.064	196.753	165.374	3.98405	41.7163	38.384	45.4501	238.901	99.2294	6.52944	31.3444	117.715	13.9155	36.2343
CLCN5-36615	95.7068	149.713	420.502	266.889	580.046	222.459	319.208	626.562	151.958	80.0046	183.836	783.446	243.734	13.6588	130.027	163.759	243.745	42.8306	13.4409	112.239	127.911	151.587	587.46	20.3106	53.9795	93.8573	181.565	329.332	926.465	30.6372	439.5	175.015	325.027	215.463	128.707	16.7203	29.0313	112.556	7.41053	143.328	44.0804	74.6158	23.3742	178.451	43.2194
PCDH17-12284	245.058	163.147	159.092	165.947	218.966	237.503	312.911	300.854	4303	5897.96	4964.55	1424.95	6729.33	1213.02	2242.16	4789.73	4054.16	693.731	1318.17	2221.54	730.754	3527.62	1057.02	609.465	504.899	286.019	1189.78	3871.56	1451.91	213.901	1540.57	389.903	350.665	680.225	272.928	864.437	71.905	128.146	379.233	334.115	174.28	421.241	626.598	344.575	125.79
IL17A-14936	6.37854	56.2664	19.6387	208.432	80.5611	79.2238	6.73181	6.45464	34.9635	106.972	7.67755	100.247	66.5032	14.6686	6.57536	4.38958	48.4096	124.892	21.6691	104.008	78.8343	6.4329	68.1442	73.7291	440.836	19.0924	18.0269	12.4297	16.6267	15.6698	15.1707	10.3024	24.3322	18.7114	69.5142	37.4753	110.529	20.4494	29.3606	23.9014	35.6045	24.5397	243.711	21.0984	68.6445
STUB1-32716	682.786	498.556	607.091	394.874	2198.91	593.071	1649.33	838.642	1259.94	2613.58	732.149	917.708	425.162	1723.57	966.766	199.573	253.041	2207.89	3444.5	2720.1	3215.65	1989.57	784.426	671.026	8132.9	689.584	571.457	1191.83	1396.06	967.731	1559.73	491.674	1911.62	2117.76	1071.87	3312.36	3247.61	3906.8	3145.15	2781.52	1507.62	4073.25	4327.18	2675.88	4888.21
USP6NL-41596	125.347	12.7479	172.165	283.106	137.03	17.5326	10.4806	8.61942	143.125	40.7721	53.4976	259.24	7.06173	70.9348	87.0746	12.6063	10.9057	34.1169	181.04	107.627	106.737	209.943	199.173	61.3928	351.661	95.5915	232.678	170.448	164.746	138.339	84.4615	113.264	42.2688	326.644	6.32769	343.072	98.9218	251.084	125.625	620.633	212.973	153.375	163.583	139.322	76.4798
TBC1D9B-22049	1109.97	996.218	964.533	1220.38	912.015	1346.79	923.977	696.456	840.5	883.443	651.393	728.018	469.813	618.537	637.053	490.298	510.776	835.895	1201.07	1030.2	805.732	1048.4	1328.23	1129.07	559.831	1178.61	1111.77	965.797	880.486	1102.93	787.181	575.373	1250.82	1093.38	896.151	298.666	1433.74	730.521	2200.64	1214.09	1715.09	1587.1	1033.92	874.565	769.666
SYK-31207	423.388	225.477	191.372	320.576	200.815	283.302	306.217	190.411	341.641	405.894	532.904	1754.4	577.22	240.042	1540.78	246.4	259.711	447.113	286.309	90.9277	888.309	973.633	914.588	1908.92	1234.18	549.321	2374.3	2111.33	1569.84	1253.18	780.551	1284.65	1507.66	1018.09	1480.7	1769.83	1098.07	256.735	1937.1	1624.31	1880.98	1645.38	449.648	1737.91	1321.68
FNDC4-24363	409.671	69.2478	236.175	75.9343	850.015	87.9688	381.79	72.6087	54.5846	731.333	24.2803	34.0683	188.775	38.4043	127.241	34.0108	35.8466	20.6358	50.3699	26.5673	610.447	201.42	196.298	40.9735	230.424	60.7393	63.6482	117.541	328.839	198.259	54.3133	40.8232	130.335	52.0339	97.7802	45.2904	45.1265	29.8007	45.0247	168.869	18.245	81.9548	79.3596	43.7662	59.3965
IKBKB-15863	695.14	353.061	155.58	195.311	210.802	281.787	171.857	247.343	113.808	428.639	127.364	345.999	83.8432	25.5401	230.934	30.0522	60.5256	143.459	32.4184	27.8538	338.807	321.936	438.649	115.109	620.833	310.115	75.5854	668.913	407.692	286.396	240.349	465.989	615.174	299.915	304.036	31.5229	331.535	1485.2	1048.3	557.863	68.0288	643.955	482.964	359.049	681.754
LRP1B-25160	50.1961	378.952	99.2827	159.849	210.033	180.823	128.58	4.68657	454.417	239.093	259.527	44.273	164.397	157.951	268.061	199.833	549.604	294.498	283.744	239.483	98.1545	20.7613	53.9733	133.549	225.509	16.6399	151.66	22.3256	4.94516	308.853	332.667	72.3127	5.39292	64.1771	1359.13	287.35	24.5181	1.30097	149.654	19.9772	8.27756	57.0258	41.1045	74.3013	128.155
ACER3-27978	428.103	151.104	420.74	255.926	275.578	141.855	282.02	261.529	590.337	194.479	477.625	270.79	980.036	118.389	401.118	811.449	571.794	174.494	278.586	273.815	787.106	377.019	416.237	558.72	813.213	150.273	1026.92	387.025	1735.49	427.079	1084.88	484.777	498.02	449.4	435.728	213.973	491.622	730.282	797.183	345.782	375.508	385.459	508.079	585.969	459.618
LOC101928902-6932	145.555	250.442	137.96	49.4115	17.6993	101.919	101.097	64.1664	59.1462	8.40969	62.6388	164.887	9.85836	125.91	8.33362	53.8312	61.1261	9.63953	148.194	112.226	22.2363	128.709	513.006	310.641	104.15	23.8917	34.9775	196.645	117.32	43.0583	11.1339	19.619	148.312	49.9203	170.586	27.5124	39.7135	53.8	402.268	173.569	102.086	99.116	48.5414	140.114	99.7859
RAB11FIP4-29641	13.4391	34.6164	155.387	14.1338	9.50186	43.7701	40.5609	11.2426	181.715	30.5403	48.4525	74.1723	11.775	30.1016	25.5207	24.6552	7.00386	36.6224	26.0034	146.625	23.7559	83.2064	161.529	236.125	326.391	15.7924	28.0263	119.826	74.1228	36.8809	86.3307	113.568	25.593	42.0919	88.3092	82.9124	238.912	41.17	56.326	84.6458	39.2901	32.5093	53.6693	313.368	73.2314
GPHA2-39968	38.258	33.3043	39.7797	50.2943	52.3712	23.2342	20.2213	12.3827	17.5839	13.4305	25.3125	19.6613	23.9275	18.0705	21.9358	10.1466	21.3945	54.811	60.1347	134.517	9.97369	15.4351	79.8855	25.1564	92.9955	78.0077	34.0692	22.1344	65.2424	49.9774	45.0509	46.8821	30.8715	37.3037	12.6262	47.0742	51.7559	215.479	325.895	60.4059	19.5998	127.759	33.6405	56.1711	95.3421
CAMTA1-30836	2437.04	2513.42	2633.75	1966.36	2468.48	2318.83	2874.43	1958.47	2410.14	4203.15	1641.84	2511.26	2027.59	2149.87	2018.49	1794.92	1858.02	2525.72	1811.99	1669.25	2247.72	2922.57	1835.9	5571.94	987.355	1904.89	4295.95	3097.85	2972.34	1522.21	5819.62	6343.49	2611.58	798.448	4402.3	1977.39	2026.86	5884.75	2349.76	1849.14	2874.84	1639.96	1665.38	4182.67	900.549
IGHG1-22886	41.6019	63.1235	13.6042	272.222	36.4519	184.319	9.69545	46.998	148.572	32.3628	11.2245	10.1846	8.17983	56.1216	41.0114	9.45982	27.2365	43.9467	77.3802	41.6546	121.801	7.25178	693.458	18.4133	943.024	65.9657	11.929	37.147	8.65477	679.845	293.252	149.499	121.568	23.6086	85.2688	123.873	47.6856	107.962	303.243	185.519	117.07	117.552	136.076	27.2527	176.964
XPO6-21074	4727.29	4097.89	2516.09	2943.58	3254.42	4002.95	2393.36	1948.1	4023.34	2926.67	3123.12	2858.72	2582.51	1412.86	2653.42	1528.78	1659.63	1972.13	2670.61	1541.21	1634.99	4689.25	4087.75	7355.11	813.583	4083.24	3164.84	2915.42	4383.85	5668.82	6102.08	4595.24	4761.24	5426	2512.69	3577.46	3266.14	3792.49	2702.4	3707.83	1879.69	3168.13	3065.05	2687.08	3493.45
DSCAM-17878	14.8102	22.1733	22.9108	175.734	150.08	61.9779	45.6909	70.291	29.3221	100.756	55.9424	63.3207	102.179	59.7811	75.5332	16.575	78.6118	33.8274	189.311	481.204	22.4485	58.8777	795.207	76.5111	339.568	21.7794	139.272	97.3287	46.9987	45.643	37.8019	21.9994	182.07	71.8734	17.5162	590.116	129.495	241.996	788.898	144.44	83.9096	131.54	179.112	295.272	219.691
LOC100287175-31003	131.481	135.174	237.487	39.6645	20.7601	37.8105	19.5717	23.918	100.798	58.3148	20.6974	106.398	50.5174	384.87	218.047	84.3636	5.42858	288.062	315.238	516.184	83.8267	119.132	168.144	226.179	162.256	184.169	371.166	8.61175	17.0253	241.069	25.5617	62.3654	245.557	36.7607	149.052	681.286	265.251	389.837	477.061	476.123	230.585	314.676	650.618	408.843	633.876
DR1-22486	430.133	261	225.222	564.951	409.732	203.169	223.849	368.368	399.324	450.84	345.026	200.64	564.02	528.288	256.2	374.361	327.752	406.095	331.97	263.937	464.593	955.083	602.263	706.614	1175.14	519.88	730.038	648.369	551.015	527.848	431.013	953.435	544.516	134.476	803.099	520.927	545.091	367.248	284.662	822.649	350.873	259.533	543.923	450.342	578.286
CHML-6051	25.2691	12.5849	11.7493	65.8606	25.11	59.7458	98.386	6.32237	66.7193	101.317	106.18	49.5815	7.42322	79.6144	12.7805	10.7145	36.7539	15.9007	110.56	106.129	35.855	139.985	235.887	17.9989	235.907	45.3954	70.3899	158.307	14.9017	57.4166	170.239	123.686	39.2283	21.8768	8.1774	126.067	204.726	72.5631	173.092	169.773	102.125	161.367	288.714	175.296	124.013
H3C6-20909	177.21	113.287	178.672	223.39	111.651	328.368	158.61	121.788	178.985	9.66033	167.018	41.7517	79.6477	23.1776	227.046	39.4609	72.8188	19.6848	19.2775	16.0082	55.9476	223.036	224.702	210.448	361.871	96.6227	298.159	268.764	304.583	612.477	275.724	279.881	261.645	427.359	48.1503	56.2843	54.1997	35.0548	36.1743	58.635	16.6249	29.4449	55.1835	43.1791	28.6592
ABHD6-27067	69.3967	48.3427	57.5338	116.276	9.30318	66.1912	4.63319	45.5458	189.441	135.366	17.3695	157.411	70.258	228.298	23.6588	5.61327	51.3648	176.75	297.643	434.708	113.213	129.26	59.7621	407.192	160.22	182.659	176.94	113.311	139.084	228.396	142.514	142.835	246.195	6.78725	102.846	778.023	532.506	339.542	425.22	686.681	92.4034	391.037	893.361	513.707	282.972
RANBP10-27191	18.4965	28.464	182.779	49.8662	221.239	32.4389	177.892	159.293	41.1049	109.769	133.512	12.7024	8.50603	12.2644	17.9814	36.062	12.4251	22.4328	23.794	23.3838	143.52	20.9754	71.087	40.0265	101.054	75.2106	49.6645	312.279	220.786	97.9522	71.5065	88.4944	55.6166	56.4956	30.1952	68.4274	48.616	17.5264	42.2776	28.8209	52.5927	66.2401	34.8176	14.4889	65.3412
TNS2-18855	181.437	388.97	340.787	716.514	425.7	595.83	773.395	395.274	255.816	356.172	231.672	57.4413	70.9303	306.485	249.741	22.6192	40.5778	261.825	509.478	336.67	598.604	706.265	200.757	159.705	299.618	381.851	542.139	260.379	621.641	48.3841	259.199	184.351	233.975	412.335	156.05	483.86	689.519	345.641	621.581	230.664	192.269	665.792	551.929	363.752	369.032
LPCAT1-8454	282.74	99.3761	189.544	184.175	147.532	418.522	141.672	128.95	204.258	132.655	124.335	23.2867	463.496	49.9537	93.6531	70.6428	69.2588	145.903	75.0049	85.8256	818.648	1047.2	376.666	176.702	82.0555	341.65	397.828	290.508	287.742	284.717	1475.75	119.089	788.002	443.795	810.54	176.702	101.441	745.599	128.059	404.1	261.679	72.7806	140.145	533.987	518.956
OR1J2-6253	60.3	116.722	73.364	146.444	33.5284	128.115	196.863	83.1249	244.298	12.8159	122.622	91.295	51.0181	56.1229	15.0106	31.594	56.7862	153.104	35.0977	48.7639	78.6773	120.924	33.0935	212.539	81.2113	285.325	132.773	119.117	16.7812	288.768	51.2722	159.517	114.884	244.039	201.951	123.934	498.791	81.0807	81.9785	129.168	45.9898	75.7657	548.463	142.386	172.318
NDUFB8-7864	32721.2	37247.8	24288.4	40596.5	27413.8	36744.7	23851.2	27995.1	34927.7	23751.6	16887.6	17485.3	11119.3	16937.5	16633.2	12439.9	13952.6	15006.2	20034.9	13615.7	22261.8	16942.5	5453.14	39473.7	705.547	39211	20665.4	19638.5	33394.9	15155.2	40550.6	35166.4	30068.6	44114.7	35788.4	19693.5	12407.1	23363.1	15279.6	29830.8	8518.32	19130	14754.3	11327.5	19306.9
