SRR5892193	SRR5892194	SRR5892196	SRR5892197	SRR5892198	SRR5892199	SRR5892201	SRR5892202	SRR5892203	SRR5892206	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRR402990	SRR402991
Actinomyces_radicidentis	3.2721452367657e-05	8.998655933238e-05	3.92095180879817e-05	0.000259614065148295	4.86425702606956e-05	0.000100465349919418	0.000226756936309964	5.92326310521962e-05	0.00196730430692661	9.46722569948391e-05	6.29811132671887e-05	7.35542157979237e-05	6.76132521974307e-05	4.55055530426378e-05	4.3823044494024e-05	2.49851624998106e-05	2.62963114782626e-05	0.00013466645836588	0.000133832151589565	3.71578731058633e-05	0	0
Actinomyces_timonensis	5.81035135500452e-05	0.000130107955213059	0.00105595288367978	0.00141304226887858	5.56369267687694e-05	0.000351628724717964	0.000406379003836396	0.000159996187324898	0.000713430469925683	0.000284840008001864	0.00019980215243384	5.0364709339465e-05	5.58030771411109e-05	5.55167747120181e-05	0.000194769086640107	4.66935823766951e-05	4.52451241611283e-05	8.49867208248711e-05	0.000181818021731876	5.46108135040719e-05	6.80178613501475e-05	0.000103888423832804
Afipia_broomeae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter_actinomycetemcomitans	0.00639260972236918	0.00111824061947435	0.00502828268169668	0.00705779379967437	0.0016029793415322	0.00568396670689932	0.00521477257744291	0.00326051804722951	0.00245686911433995	0.000753261870871981	0.00411440410636859	0.000882288253536672	0.00100002657289388	0.00289233295139006	0.00628422458044304	0.00449200454320365	0.00277774125512295	0.00611966880174973	0.00259497900508122	0.00553089311200002	0.00570438455756134	0.0203881031771877
Alloiococcus_otitis	0	0	2.79424151891363e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloprevotella_rava	0.0062504090181546	0.00296955645796854	0.000830610825702876	0.00656205456098643	0.00207605218171465	0.000466745271500631	3.75805034895727e-05	0.000286631467505455	0.00497705376959249	8.56166498040284e-05	0.000471272468240688	0.000625392002301558	0.0133003238940509	0.000235263709230437	2.62938266964144e-05	0.00193082059055913	0.00522291151213846	0.0142821434150914	0.00396499760951124	0.000537663163880295	0.00160157520952306	0.00353220641031532
Alloprevotella_tannerae	0.00265410733737285	0.00151372295029819	0.0155851074137988	0.0258637421760356	0.000317289445229897	0.00784118102600239	6.05109801950747e-05	0.00135622300064339	0.00946906527040824	0.000178642432764175	0.00912248849237331	0.000238779449314442	0.00475241444266308	0.000390437645105832	7.88814800892432e-05	0.00118331367970414	0.0031652251389644	0.00974691454460241	0.0020671344335158	0.000228577219408796	0.00481384142442024	0.0566072038630511
Alloscardovia_omnicolens	0.000170946653023554	0.000652832427258476	0	1.48350894370454e-05	7.1851116855668e-05	0	0	0.000184506241553393	0.000188815988078588	0.0116792635650938	1.52023376851835e-05	8.69606492192202e-05	9.86149617202701e-05	6.46178853205457e-05	0.000226905985935724	0	2.04956545345282e-05	0	0	2.30829211718242e-05	0	0
Anaerococcus_lactolyticus	5.32105860931993e-05	0	3.87588339720278e-05	2.34888916086553e-05	0	0	0	0	1.46982505689919e-05	0	0	0	1.86010257137036e-05	2.54831097038772e-05	0	2.45755696719448e-05	0	1.71848148726761e-05	1.67290189486956e-05	0	0	7.99141721790797e-05
Anaerococcus_prevotii	0	0	1.62246281743372e-05	1.73076043432197e-05	0	0	0	0	1.92207892056048e-05	0	0	0	0	0	0	1.47453418031669e-05	0	0	0	0	0	0
Anaerococcus_tetradius	1.92659018613308e-05	1.60485583522716e-05	2.02807852179215e-05	2.1016376702481e-05	2.44802477782586e-05	0	0	0	0	0	1.9545862738093e-05	1.95661460743245e-05	1.68294994552557e-05	2.32078320517453e-05	0	2.21180127047503e-05	3.59640730511533e-05	1.78097172316825e-05	3.80805299753203e-05	0	0	0
